name,bounds_sw_lat,bounds_sw_lng,bounds_ne_lat,bounds_ne_lng,neighborhood
RiNo,39.7558179,-104.9982262,39.7799477,-104.9593878,TRUE
Capitol Hill,39.72726189999999,-104.9874155,39.740114,-104.9729353,TRUE
LoDo,39.7455199,-105.0081863,39.760406,-104.9916907,TRUE
Highland,39.753927,-105.0252881,39.7693201,-104.9982032,TRUE
Washington Park,39.6847287,-104.9734269,39.7184035,-104.959261,TRUE
Five Points,39.7437794,-105.0031688,39.7753059,-104.9719156,TRUE
Baker,39.69663430000001,-105.0158463,39.7258636,-104.9874306,TRUE
LoHi,39.7561678,-105.0158685,39.7692858,-104.9980322,TRUE
Central Park,39.7474426,-104.90366,39.8128456,-104.8281634,TRUE
"Sloan's Lake",39.7439508,-105.0532402,39.7585194,-105.0252134,TRUE
Cherry Creek,39.7114432,-104.9601705,39.7256157,-104.9406846,TRUE
City Park,39.7399891,-104.9597901,39.7511654,-104.940621,TRUE
Cheesman Park,39.7290789,-104.973019,39.74003889999999,-104.9597769,TRUE
Congress Park,39.7255997,-104.9601925,39.7402072,-104.9406618,TRUE
Curtis Park,39.75111649999999,-104.9889995,39.7678253,-104.9733315,TRUE
Cole,39.7619856,-104.9733522,39.7729113,-104.9594008,TRUE
Whittier,39.7507135,-104.9733677,39.7620476,-104.9597525,TRUE
Globeville,39.7621195,-104.9982465,39.7983164,-104.9675333,TRUE
Elyria-Swansea,39.770301,-104.9784146,39.7946389,-104.9400884,TRUE
Sunnyside,39.7692661,-105.025299,39.7843878,-104.9981755,TRUE
Jefferson Park,39.7433899,-105.025299,39.7584767,-105.0094893,TRUE
Edgewater,39.7432729,-105.074409,39.7584761,-105.0532099,TRUE
Berkeley,39.769289,-105.0532436,39.7851487,-105.025186,TRUE
Regis,39.7833998,-105.0649951,39.7920476,-105.0251845,TRUE
West Colfax,39.7339686,-105.0532329,39.746397,-105.0251517,TRUE
Villa Park,39.7255427,-105.0555962,39.7365942,-105.025135,TRUE
Sun Valley,39.7253197,-105.0252248,39.7475999,-105.0156372,TRUE
Lincoln Park,39.725503,-105.0180616,39.7405154,-104.9874237,TRUE
Golden Triangle,39.73844881970849,-104.9930171802915,39.74114678029149,-104.9903192197085,TRUE
Auraria,39.7401493,-105.0173851,39.7547919,-104.9985669,TRUE
Union Station,39.7526433697085,-105.0027021302915,39.75534133029149,-105.0000041697085,TRUE
Ballpark,39.7463662,-105.0079875,39.7660583,-104.9804497,TRUE
Five Points / Welton,39.74738609999998,-104.9874001,39.75824790000003,-104.9733634,TRUE
North Capitol Hill,39.7400055,-104.9874196,39.7475969,-104.9733832,TRUE
Country Club,39.7141315,-104.9732709,39.7291094,-104.9593043,TRUE
Speer,39.7110997,-104.987575,39.7272846,-104.9729106,TRUE
Alamo Placita,39.718587,-104.9811361,39.727287,-104.9718263,TRUE
Platt Park,39.6785129,-104.9875713,39.6966595,-104.9734021,TRUE
Harvard Gulch,39.6658011,-104.982879,39.67611429999999,-104.9417601,TRUE
Rosedale,39.6676758,-104.9875841,39.6785697,-104.9734306,TRUE
University,39.6603778,-104.9735007,39.6898239,-104.9593783,TRUE
University Hills,39.6530444,-104.9407483,39.6829623,-104.9184481,TRUE
Virginia Village,39.6784428,-104.9407083,39.7001702,-104.903507,TRUE
South Park Hill,39.7401293,-104.9406634,39.7510849,-104.9034229,TRUE
Park Hill,39.740077,-104.9407058,39.7910532,-104.903428,TRUE
Montbello,39.7725765,-104.8660576,39.7984107,-104.809632,TRUE
Green Valley Ranch,39.7691817,-104.772227,39.798386,-104.7344991,TRUE
Stapleton,39.7474426,-104.90366,39.8128456,-104.8281634,TRUE
Northfield,39.7474433,-104.9034469,39.8129847,-104.8277625,TRUE
Lowry,39.7069119,-104.9127811,39.732895,-104.8706435,TRUE
Colorado Springs,,,,,FALSE
Boulder,,,,,FALSE
Fort Collins,,,,,FALSE
Aurora,,,,,FALSE
Lakewood,,,,,FALSE
Pueblo,,,,,FALSE
Loveland,,,,,FALSE
Greeley,,,,,FALSE
Longmont,,,,,FALSE
Arvada,,,,,FALSE
Westminster,,,,,FALSE
Englewood,,,,,FALSE
Littleton,,,,,FALSE
Centennial,,,,,FALSE
Thornton,,,,,FALSE
Northglenn,,,,,FALSE
Broomfield,,,,,FALSE
Brighton,,,,,FALSE
Commerce City,,,,,FALSE
Aspen,,,,,FALSE
Vail,,,,,FALSE
Breckenridge,,,,,FALSE
Steamboat Springs,,,,,FALSE
Telluride,,,,,FALSE
Estes Park,,,,,FALSE
Grand Junction,,,,,FALSE
Durango,,,,,FALSE
Golden,,,,,FALSE
Idaho Springs,,,,,FALSE
