name,description,category,cuisine,address,area,closed,rating
Huckleberry Coffee,Locally-roasted coffee.,Coffee Shop,,,Congress Park,FALSE,3
Crema Coffee House,,Coffee Shop,,,RiNo,FALSE,3
Safta,Israeli cuisine. Incredible Sunday buffet - pace yourself. Reservations recommended.,Restaurant,Mediterranean,"3330 Brighton Blvd #201, Denver, CO 80216",RiNo,FALSE,5
Smok,Delicious.,Restaurant,BBQ,"3330 Brighton Blvd #202, Denver, CO 80216",RiNo,FALSE,3
Snooze,Fantastic breakfasts; great service. Usually a line Multiple locations.,Diner,American,,,FALSE,5
Patxi Pizza,,Restaurant,Italian,,,TRUE,3
Improper City,"Food trucks, beer. Dog-friendly.",Bar,,"3201 Walnut St #107, Denver, CO 80205",Curtis Park,FALSE,3
Mister Oso,A little pricey.,Restaurant,Mexican,,,FALSE,3
For[a]ged,Good but pricey,Restaurant,,,,TRUE,2
Milk Market,Fun,Market,,"1800 Wazee St Suite 100, Denver, CO 80202",LoDo,FALSE,3
Kachina,By Milk Market. Great margaritas. The queso is just OK; everything else is really good.,Restaurant,Mexican,"1890 Wazee St, Denver, CO 80202",LoDo,FALSE,5
Barcelona Wine Bar,,Bar,,"2900 Larimer St, Denver, CO 80205",Curtis Park,FALSE,3
Habit Donuts,,Bakery,,,,FALSE,3
Mint Indian,Decent,Restaurant,Indian,"1531 Stout St Suite 130, Denver, CO 80202",Five Points,FALSE,2
Adelitas,,Restaurant,Mexican,"1294 S Broadway, Denver, CO 80210",Platt Park,FALSE,3
Aloy Modern Thai,,Restaurant,Thai,"2134 Larimer St, Denver, CO 80205",Ballpark,FALSE,3
Sushi-Rama,I miss their conveyor-belt sushi.,Restaurant,Japanese,,,TRUE,3
Honey,"Excellent drinks, good snack plates. Their shrubs are always great. Non-alcoholic options. Chill vibe.",Cocktail Bar,,"2636 Walnut St #104, Denver, CO 80205",Curtis Park,FALSE,5
Rye Society,"Reubens, breakfast, lunch",Restaurant,American,"3090 Larimer St, Denver, CO 80205",Curtis Park,FALSE,3
Pit Fiend,"BBQ, sells out. Formerly Owlbear.",Restaurant,BBQ,"2826 Larimer St, Denver, CO 80205",Curtis Park,FALSE,5
Shake Shack,Much better than typical fast food.,Restaurant,American,,,FALSE,4
Colorado Sake Co,Tasty sake; dim sum on weekends. Frequently have shows in the back.,Bar,Japanese,"3559 Larimer St, Denver, CO 80205",RiNo,FALSE,4
Great Divide,One of many good breweries in Denver. Gluten-free options. Not a fan of their IPA though.,Brewery,,,,FALSE,3
Sushi Hai,,Restaurant,Japanese,"3600 W 32nd Ave Ste D, Denver, CO 80211",,FALSE,3
Osaka Ramen,I miss them…,Restaurant,Japanese,,,TRUE,5
Grabowski's Pizzeria,We were so sad when they closed.,Restaurant,Italian,,,TRUE,5
Fish & Beer,"Get there early, or get reservations. Everything is good. Try the peel-and-eat shrimp. Pricey but worth it.",Restaurant,American,"3510 Larimer St, Denver, CO 80205",Curtis Park,FALSE,5
Stowaway Kitchen,"Great waffles, fresh fruit",Restaurant,,"2528 Walnut St #104, Denver, CO 80205",Curtis Park,FALSE,3
Blue Moon Brewery,Dog-friendly patio; fire pits in winter. Tasty beer. Good burgers.,Brewery,American,"3750 Chestnut Pl, Denver, CO 80216",Elyria-Swansea,FALSE,3
Ophelia's,Reservations recommended. Great themed brunches. Good venue for live music.,Restaurant,American,"1215 20th St, Denver, CO 80202",LoDo,FALSE,5
Zaika Indian Express,Mainly tried through Grubhub.,Restaurant,Indian,"575 Lincoln St B, Denver, CO 80203",Speer,FALSE,3
Snarf's,Local sandwich shop. Much better than Subway.,Restaurant,American,,,FALSE,3
Denver Biscuit Company,Friendly and consistently good. Delicious cocktails.,Diner,American,"3237 E. Colfax Ave, Denver, CO",Congress Park,FALSE,5
Olive & Finch,"Sandwiches, salads",Restaurant,American,,,FALSE,4
Dio Mio,Excellent pasta and wine. Small outdoor patio.,Restaurant,Italian,"3264 Larimer St, Denver, CO 80205",Curtis Park,FALSE,4
Molecule Effect,"Coffee, booze, snacks",Coffee Shop,,"2215 S Broadway, Denver, CO 80210",,FALSE,3
